,date,low,high,open,close,volume
0,2022-01-01 00:00:00,46221.42041236,46702.99583216,46241.56345764,46649.78053961,158347.54581711
1,2022-01-01 01:00:00,46575.14540718,46909.45723216,46649.71871819,46760.56413674,57059.63192647
2,2022-01-01 02:00:00,46746.75426981,46918.15930495,46774.06616078,46810.08541265,1476.3160095399999
3,2022-01-01 03:00:00,46750.93933428,46898.47112131,46808.09117571,46813.27806512,47223.839296750004
4,2022-01-01 04:00:00,46639.14488471,46884.45627017,46827.32362426,46701.9829606,149160.68502297002
5,2022-01-01 05:00:00,46681.4123157,47516.10849967,46702.02744407,47206.75316361,160524.32903442002
6,2022-01-01 06:00:00,47024.47775416,47322.14015543,47213.81269419,47049.04737893,32536.162260700003
7,2022-01-01 07:00:00,46891.10472331,47210.32607885,46983.75080961,47210.32607885,19752.73266181
8,2022-01-01 08:00:00,47068.15413636,47339.07906935,47204.71657421,47128.3668619,11669.48542978
9,2022-01-01 09:00:00,46944.75350461,47211.79142713,47153.12554529,47129.53059304,983.50807461
10,2022-01-01 10:00:00,46733.6395284,47288.89476835,47186.44181575,46887.65929811,69575.04982772999
11,2022-01-01 11:00:00,46758.68492237,47004.66318633,46880.88310011,46771.902423,57684.30774178
12,2022-01-01 12:00:00,46781.66777183,47133.6067746,46784.59524008,47091.46423804,32595.734474719997
13,2022-01-01 13:00:00,46953.96539852,47189.11921497,47105.57372474,47037.47000662,4064.8176969700003
14,2022-01-01 14:00:00,46866.06954379,47091.1413896,47021.62615798,46937.21649682,2142.95781038
15,2022-01-01 15:00:00,46877.95264941,47434.04077033,46877.95264941,47223.21555989,9571.694959350001
16,2022-01-01 16:00:00,47224.77091073,47517.92868498,47224.77091073,47271.06382389,31419.53385975
17,2022-01-01 17:00:00,47238.5,47940.78089647,47306.88077092,47743.17567064,80067.60568928
18,2022-01-01 18:00:00,47436.46550047,47844.51813394,47760.7091898,47574.89812745,4864.4637526
19,2022-01-01 19:00:00,47296.80000001,47604.2630416,47602.469935,47339.77414709,6030.999449309999
20,2022-01-01 20:00:00,47267.97802649,47557.17226545,47339.77414709,47403.75067212,1251.4721925600002
21,2022-01-01 21:00:00,47287.46458049,47533.58932839,47400.19546971,47316.50652844,33989.41799568
22,2022-01-01 22:00:00,47251.76878001,47509.83804153,47343.80886276,47444.52855988,1761.0486733300002
23,2022-01-01 23:00:00,47319.34861021,47792.8724596,47426.40006006,47742.47449971,23308.67957234
24,2022-01-02 00:00:00,47411.20326019,47757.56520821,47757.56520821,47648.47021006,81166.57067609999
25,2022-01-02 01:00:00,47330.53205557,47649.21314208,47646.08807908,47382.29882058,62253.430180560004
26,2022-01-02 02:00:00,47297.69463041,47453.98829637,47374.54783599,47378.91029073,1275.3604908500001
27,2022-01-02 03:00:00,47273.864276,47473.73423272,47382.46378323,47333.99943177,3020.66630271
28,2022-01-02 04:00:00,46780.95945662,47418.34771686,47321.97976878,46926.17557772,89203.00048107
29,2022-01-02 05:00:00,46858.63594055,47092.76421965,46914.75073716,47085.72361563,7941.5994650600005
30,2022-01-02 06:00:00,47027.97877031,47243.21967974,47054.53334511,47160.26311499,6138.69044206
